qid,type,question,expected_points,source_document,gemini_score,gemini_citations,deepknown_score,deepknown_citations
G-312,partial,我们在做残疾人就业补贴政策省际对比、韶关和山东是对比点，按服务人数两地分别一年补多少？请整理供对比分析。,"【部分答案·库内可查】韶关辅助性就业机构按月均服务人数给予补贴：服务人数≥40人补5万元/年、≥30人补3万元/年、≥20人补2万元/年（来源 fileId 54308061，库内有）。
【部分答案·库外查无】山东残疾人辅助性就业补贴属外省政策，本库未收录，模型应诚实标注“山东部分查不到、建议咨询山东残联、民政部门”，不可编造山东标准。",关于印发《韶关市促进残疾人就业创业实施办法（试行）》的通知,0.5,24,1.0,关于印发《韶关市促进残疾人就业创业实施办法（试行）》的通知 | 关于印发《关于完善残疾人就业保障金制度更好促进残疾人就业的总体方案》的通知 | 广东省财政厅 广东省民政厅 广东省残疾人联合会关于2026年提高我省残疾人两项补贴标准的通知
G-313,complex,广州阶段性减免企业社保费期间，生育保险单位缴费费率和相关单位缴费费率合计分别是多少？,广州市阶段性减免企业社会保险费政策介绍 | 1. 生育保险单位缴费费率：0.85%；2. 单位缴费费率合计：4.35%,广州市阶段性减免企业社会保险费政策介绍,0.5,12,1.0,广州市阶段性减免企业社会保险费政策介绍
G-314,complex,揭阳市2024年度生物医药职称评审中，初级和中级评审费每人分别是多少？,关于做好2024年度揭阳市生物医药行业职称评审和认定工作的通知 | 1. 初级评审费每人：280元；2. 中级评审费每人：450元,关于做好2024年度揭阳市生物医药行业职称评审和认定工作的通知,1.0,6,1.0,关于做好2024年度揭阳市生物医药行业职称评审和认定工作的通知
G-315,complex,按2015社保年度潮州市职工医保标准，用人单位和职工个人每人每月分别缴费多少？,关于公布我市2015社保年度职工基本医疗保险缴费标准的通知 | 1. 用人单位缴费标准为每人每月：229.82元；2. 职工个人缴费标准为每人每月：71.82元,关于公布我市2015社保年度职工基本医疗保险缴费标准的通知,1.0,9,1.0,关于公布我市2015社保年度职工基本医疗保险缴费标准的通知
G-316,simple,我们在落实梅州供应链核心企业帮助中小企业应收账款融资奖励工作，奖励标准是多少，需要核实。,《梅州市促进民营经济及中小微企业发展（应收账款融资）项目入库通知》｜按帮助广东省中小企业实现应收账款融资年化金额不超过1%的额度给予奖励,关于组织开展2024年省级促进民营经济及中小微企业发展（应收账款融资）项目入库工作的通知,1.0,3,1.0,关于组织开展2024年省级促进民营经济及中小微企业发展（应收账款融资）项目入库工作的通知
G-317,simple,韶关市两人及以上共同申请住房公积金贷款时，最高贷款额度是多少？,韶关市人民政府办公室印发关于持续促进房地产市场平稳健康发展的若干措施的通知（韶府办发函〔2025〕27号） | 两人及以上共同申请，最高贷款额度为80万元,韶关市人民政府办公室印发关于持续促进房地产市场平稳健康发展的若干措施的通知（韶府办发函〔2025〕27号）,0.0,0,1.0,韶关市人民政府办公室印发关于持续促进房地产市场平稳健康发展的若干措施的通知（韶府办发函〔2025〕27号）
G-318,complex,东莞市专职消防救援队伍岗前培训中，消防员和消防文员的最低培训时间分别是多少天？,东莞市人民政府关于印发《东莞市专职消防救援队伍建设管理办法》的通知 | 1. 培训时间下限：90天；2. 消防文员培训时间下限：15天,东莞市人民政府关于印发《东莞市专职消防救援队伍建设管理办法》的通知,1.0,5,1.0,东莞市人民政府关于印发《东莞市专职消防救援队伍建设管理办法》的通知
G-319,unanswerable,广州市育儿补贴实施细则尚未发布，能否自行补充申领条件、材料和办理流程？,无业务来源 | 库内无答案：截至2026-08-06没有能够证明“尚未发布的育儿补贴实施细则”已正式公布的材料，应明确拒绝编造并建议查询主管部门最新公开信息。,,1.0,0,1.0,广州市卫生健康委员会 广州市财政局关于印发广州市贯彻落实广东省育儿补贴制度实施方案具体措施的通知
G-320,complex,揭阳市农业水价改革中，大中型灌区末级渠系和小型灌区的补贴标准分别是多少？,揭阳市财政局 揭阳市发展和改革局 揭阳市农业农村局 揭阳市水利局关于印发《揭阳市农业水价综合改革精准补贴及节水奖励办法》的通知 | 1. 大中型灌区末级渠系补贴标准：0.018元；2. 小型灌区补贴标准：0.012元,揭阳市财政局 揭阳市发展和改革局 揭阳市农业农村局 揭阳市水利局关于印发《揭阳市农业水价综合改革精准补贴及节水奖励办法》的通知,1.0,9,1.0,揭阳市财政局 揭阳市发展和改革局 揭阳市农业农村局 揭阳市水利局关于印发《揭阳市农业水价综合改革精准补贴及节水奖励办法》的通知
G-321,partial,肇庆市安全生产行刑衔接中，检察机关可在什么情形提出检察建议并要求反馈？某案件的反馈处理结果还需如何核实？,肇庆市应急管理局 肇庆市中级人民法院 肇庆市人民检察院 肇庆市公安局关于印发《肇庆市安全生产行政执法与刑事司法衔接工作实施办法》的通知 | 1. 对依法应当追究行政法律责任的，人民检察院可以提出检察建议，并要求应急管理部门、公安机关及时通报处理情况；边界：库内材料只能确认上述制度事实，不能确认具体案件检察建议的处理反馈；制度规定职权，不记录具体案件后续办理情况。,肇庆市应急管理局 肇庆市中级人民法院 肇庆市人民检察院 肇庆市公安局关于印发《肇庆市安全生产行政执法与刑事司法衔接工作实施办法》的通知,0.3333333333,11,0.67,肇庆市应急管理局 肇庆市中级人民法院 肇庆市人民检察院 肇庆市公安局关于印发《肇庆市安全生产行政执法与刑事司法衔接工作实施办法》的通知 | 关于印发《肇庆市应急管理局2023年度安全生产监督检查计划》的通知
G-322,complex,我们在落实行政审批改革衔接工作，需要核实文化部下放和广州动态调整两地规则。文化部下放后，一般性美术品进出口经营活动和涉外商业性美术品展览分别几日内作出决定、文化部哪天起不再受理？广州的行政审批备案事项需调整的，应在什么文件公布后几个工作日内提出申请、审定后几个工作日内实施？,"文化部《下放一批行政审批项目通知》(41810965，2014.1.1起)：美术品进出口经营活动审批(含涉外商业性美术品展览)下放至省级文化主管部门——一般性美术品进出口经营活动3日内作出决定、涉外商业性美术品展览20日内作出决定；2014年1月1日起文化部不再受理；省级应自通知发布之日起20日内公布调整后的审批事项信息
广州《行政审批备案事项动态调整办法》(40857099，2015年印发)：行政审批、备案事项需调整的，应在法律法规规章或机构编制管理部门职能调整文件公布之日起20个工作日内提出书面动态调整申请；审核确认意见经审定之日起10个工作日内调整实施
推导：文化部美术品审批下放后省级3日(一般)/20日(展览)决定、2014.1.1起接手；广州审批备案调整——职能文件公布后20工作日内申请、审定后10工作日内实施",文化部关于下放一批行政审批项目的通知;广州市行政审批备案事项动态调整办法,1.0,4,1.0,文化部关于下放一批行政审批项目的通知 | 广州市行政审批备案事项动态调整办法 | 广东省政务服务和数据管理局关于印发《广东省政务服务事项管理办法》的通知
G-323,simple,我们在落实广州地区国家集采药品协议到期续签工作，不同中选企业数量对应的约定采购量比例怎么算，需要核实采购量标准。,《广州地区国家药品集中采购试点协议到期相关工作通知》｜首年约定采购量按中选企业数确定：1家为计算基数的50%、2家为60%、3家为70%,广州市医疗保障局 广州市财政局 广州市人力资源和社会保障局 广州市卫生健康委员会 广州市市场监督管理局关于做好广州地区国家药品集中采购试点协议到期相关工作的通知,1.0,20,1.0,广州市医疗保障局 广州市财政局 广州市人力资源和社会保障局 广州市卫生健康委员会 广州市市场监督管理局关于做好广州地区国家药品集中采购试点协议到期相关工作的通知 | 广东省医疗保障局关于做好1-8批国采接续采购中选结果落地实施相关工作的通知
G-324,complex,湛江市2024年度林业工程职称资历从本级评审年度几月起算，截止到高一级职称评审年度几月？,湛江市自然资源局关于做好2024年度湛江市工程系列林业工程职称评审工作的通知 | 1. 职称资历年限的起算时间为本级职称评审年度：1月；2. 截止时间为高一级职称评审年度：12月,湛江市自然资源局关于做好2024年度湛江市工程系列林业工程职称评审工作的通知,1.0,9,1.0,湛江市自然资源局关于做好2024年度湛江市工程系列林业工程职称评审工作的通知
G-325,simple,我们在经办潮州企业技术改造省级专项资金申报，有工厂问支持方式有哪几种，需要核实答复。,《促进经济发展专项（企业技术改造用途）资金》｜省级财政支持方式分股权投资、贷款贴息、事后奖补三种，项目单位结合情况选择一种申报,潮州市工业和信息化局关于组织申报2019年促进经济发展专项（企业技术改造用途）资金（新一轮企业技术改造政策支持）项目库的通知,0.0,8,1.0,关于组织潮州市2024年进一步支持工业企业高质量发展（支持企业技术改造）项目库申报的通知 | 潮州市工业和信息化局关于申报2020年省级促进经济高质量发展专项企业技术改造资金项目库有关事项调整的通知 | 潮州市工业和信息化局关于组织申报2019年促进经济发展专项（企业技术改造用途）资金（新一轮企业技术改造政策支持）项目库的通知
G-326,simple,我们在组织揭阳优秀教职工评选，杰出教师对教龄有什么要求，需要核实评选条件。,《揭阳市优秀教职工评选通知》｜杰出教师须从事教育教学工作15年以上（含15年），并在市级以上刊物发表过学术论文、曾获县级以上优秀教师称号,关于评选2000-2001学年度揭阳市优秀教职工和尊师重教先进单位先进个人的通知,0.0,23,1.0,关于评选2000-2001学年度揭阳市优秀教职工和尊师重教先进单位先进个人的通知
G-327,complex,东莞市企业开展数据要素首评估、首入表、首开放时，基础奖励和额外奖励的单家上限分别是多少？,东莞市政务服务和数据管理局关于印发《东莞市关于支持企业开展数据要素“首评估、首入表、首开放”的实施细则》的通知 | 1. 每家企业奖励最高上限：5万元；2. 额外奖励最高上限：3万元,东莞市政务服务和数据管理局关于印发《东莞市关于支持企业开展数据要素“首评估、首入表、首开放”的实施细则》的通知,1.0,10,1.0,东莞市政务服务和数据管理局关于印发《东莞市关于支持企业开展数据要素“首评估、首入表、首开放”的实施细则》的通知
G-328,complex,按2022年湛江市住房公积金政策，首次贷款和第二次贷款每户最高额度分别是多少？,湛江市住房公积金管理委员会关于住房公积金个人住房贷款有关问题的通知 | 1. 第一次贷款每户最高额度：40万元；2. 第二次贷款每户最高额度：30万元,湛江市住房公积金管理委员会关于住房公积金个人住房贷款有关问题的通知,1.0,23,1.0,湛江市住房公积金管理委员会关于调整住房公积金个人住房贷款政策有关问题的通知 | 湛江市住房公积金管理委员会关于住房公积金个人住房贷款有关问题的通知
G-329,simple,我们在做残疾人相关工作，需要引用一个数据，残疾人占总人口的比例大概多少，需要核实。,《第二次全国残疾人抽样调查主要数据公报》｜2006年4月1日我国残疾人占全国总人口的比例为6.34%,2006年第二次全国残疾人抽样调查主要数据公报,1.0,4,1.0,2006年第二次全国残疾人抽样调查主要数据公报
G-330,complex,河源市建设工程施工围挡中，城区主要路段和其他路段的最低高度分别是多少米？,河源市住房和城乡规划建设局关于印发河源市建设工程文明施工和扬尘污染防治管理实施指南的通知 | 1. 城区主要路段围挡高度统一：2.5米；2. 其它路段施工现场的围挡高度统一：1.8米,河源市住房和城乡规划建设局关于印发河源市建设工程文明施工和扬尘污染防治管理实施指南的通知,1.0,22,1.0,河源市住房和城乡规划建设局关于印发河源市建设工程文明施工和扬尘污染防治管理实施指南的通知
G-331,unanswerable,我们在做医保报销比例省际对比、济南是对比城市，济南市城乡居民医保在三级医院住院的报销比例是多少？,【诚实查无】济南居民医保报销比例属山东省政策，本知识库未收录（库外查无）。模型应诚实回复“本库未收录山东医保政策，建议咨询济南医保局”，不可编造比例。,,1.0,0,1.0,关于《国家医保局 财政部 国家税务总局关于做好2022年城乡居民基本医疗保障工作的通知》的解读 | 国务院关于整合城乡居民基本医疗保险制度的意见 | 《关于建立医疗保障待遇清单管理制度的意见（征求意见稿）》公开征求意见 | 广东省医疗保障局关于全国第十四届人大一次会议第0826号代表建议会办意见的函 | 广东省医疗保障局关于广东省十四届人大第一次会议第1583号代表建议协办意见的函 | 广州市医疗
G-332,complex,我们在经办河源就业创业补贴和创业贷款业务。返乡应届高校毕业生到中小微企业就业能拿多少补贴？创业担保基金什么规模、能支持多少？,"就业补贴《河源市返乡下乡就业创业工程实施意见》(40707558)：返乡下乡应届高校毕业生到中小微企业就业、签1年以上合同并缴社保，给予毕业生本人一次性2000元就业补贴
创业贷《河源市进一步做好新形势下就业创业工作实施意见》(40894023)：将小额担保贷款调整为创业担保贷款，全市每年新增创业(小额)贷款担保基金不少于1000万元
推导：返乡应届中小微就业→一次性2000元；创业可申请创业担保贷款(全市年新增担保基金≥1000万元支撑)",河源市人力资源和社会保障局关于大力实施返乡下乡就业创业工程推动乡村全面振兴战略的实施意见;河源市人民政府关于进一步做好新形势下就业创业工作的实施意见,0.0,0,1.0,河源市人民政府关于进一步促进创业带动就业工作的实施意见 | 关于印发《广东省省级促进就业专项资金使用管理办法》的通知 | 河源市人民政府关于进一步做好新形势下就业创业工作的实施意见 | 国务院关于进一步做好新形势下就业创业工作的意见 | 人力资源社会保障部 财政部关于做好2026年高校毕业生等青年就业工作的通知 | 人力资源社会保障部 国家发展改革委 财政部 税务总局关于扩大阶段性缓缴社会保险费政
G-333,simple,有位南澳乡下小学的老教师来咨询职称申报，他教书快满三十年、一级教师聘了二十六七年，听说县里有专门给农村老教师的职称通道，问我他这种情况够不够格申报，我需要核实条件再答复。,《汕头市农村中小学教师职称“定向评价、定向使用”实施方案（试行）》｜适用于南澳县中小学校在职在岗、在南澳任教累计满30年、受聘一级教师岗位满25年的教师,关于印发《汕头市农村中小学教师职称“定向评价、定向使用”实施方案（试行）》的通知,1.0,16,1.0,关于印发《汕头市农村中小学教师职称“定向评价、定向使用”实施方案（试行）》的通知
G-334,simple,茂名市知识产权工作专项资金不得用于哪些支出？,茂名市市场监督管理局办公室关于印发《茂名市市场监督管理局知识产权工作专项资金管理细则》的通知 | 除中央、省委、省政府和市委、市政府文件规定外，知识产权专项经费不得用于基本建设支出，不得用于因公出国（境）费，一般公务用车购置及运维费、公务接待费、外事费，不得用于编制内人员工资性支出、津贴补贴、奖金和其他福利支出，不得用于支付罚款、捐款、赞助、投资等支出，不得用于国家禁止列支的其他支出,茂名市市场监督管理局办公室关于印发《茂名市市场监督管理局知识产权工作专项资金管理细则》的通知,0.0,0,1.0,茂名市市场监督管理局办公室关于印发《茂名市市场监督管理局知识产权工作专项资金管理细则》的通知
G-335,complex,广东省乡村振兴用地保障中，省级土地利用年度计划和涉农市县各级计划安排的最低比例分别是多少？,中共广东省委广东省人民政府关于加强乡村振兴重点工作决胜全面建成小康社会的实施意见 | 1. 省级土地利用年度计划应安排下限：5%；2. 涉农市县各级应安排下限：10%,中共广东省委广东省人民政府关于加强乡村振兴重点工作决胜全面建成小康社会的实施意见,0.0,0,1.0,中共广东省委广东省人民政府关于加强乡村振兴重点工作决胜全面建成小康社会的实施意见 | 中共广东省委 广东省人民政府关于做好2022年全面推进乡村振兴重点工作的实施意见 | 中共广东省委 广东省人民政府关于实现巩固拓展脱贫攻坚成果同乡村振兴有效衔接的实施意见
G-336,complex,河源市建设工程施工现场临时设施中，室内净高和通道宽度的下限分别是多少米？,河源市住房和城乡规划建设局关于印发河源市建设工程文明施工和扬尘污染防治管理实施指南的通知 | 1. 室内净高下限：2.4米；2. 通道宽度下限：0.9米,河源市住房和城乡规划建设局关于印发河源市建设工程文明施工和扬尘污染防治管理实施指南的通知,1.0,3,1.0,河源市住房和城乡规划建设局关于印发河源市建设工程文明施工和扬尘污染防治管理实施指南的通知 | 住房和城乡建设部关于发布国家标准《民用建筑设计统一标准》的公告
G-337,complex,企业所得税过渡期内，符合条件的居民企业可在15%高新技术企业税率与哪一税率之间选择？两种税率分别是多少？,国家税务总局关于进一步明确企业所得税过渡期优惠政策执行口径问题的通知 | 1. 该居民企业的所得税适用税率可以选择适用高新技术企业：15%；2. 也可以选择依照：25%,国家税务总局关于进一步明确企业所得税过渡期优惠政策执行口径问题的通知,1.0,28,1.0,国家税务总局关于进一步明确企业所得税过渡期优惠政策执行口径问题的通知 | 国家税务总局关于印发《新企业所得税法精神宣传提纲》的通知 | 关于政协第十三届全国委员会第五次会议第02808号（城乡建设类080号）提案答复的函 | 财政部 国家税务总局关于贯彻落实国务院关于实施企业所得税过渡优惠政策有关问题的通知
G-338,simple,有群众来咨询揭阳商转公贷款，他用商业贷款买了房还了一年多、听说能转公积金贷款省利息，问我转的话额度怎么算、有什么前提条件，需要核实答复。,《揭阳市商业性个人住房贷款转个人住房公积金贷款业务操作细则》｜商转公贷款额度≤原商业贷款当前本金余额-4期原商业贷款月还款本金（取1万元整数倍）；须商贷正常还款1年以上且未结清,《揭阳市商业性个人住房贷款转个人住房公积金贷款业务操作细则》政策解读,1.0,16,1.0,《揭阳市商业性个人住房贷款转个人住房公积金贷款业务操作细则》政策解读
G-339,complex,我们在核定房屋征收补偿标准，需要核实梅州平远和五华两地口径。平远县砖木、砖混、框架结构的房子“三通一平”和基础建设补助每平方米分别多少？五华县选择产权置换的，临时安置补助每月每平方米给多少？,"平远县《中心城区集体土地上房屋征收补偿安置办法》(60265897)：被征收集体土地上房屋按首层占地面积给予“三通一平”和基础建设补助——砖木结构400元/㎡、砖混结构500元/㎡、框架结构600元/㎡
五华县《集体土地上房屋征收补偿安置办法》(60267943)：选择产权置换或宅基地安置、并在约定期限内搬迁完毕(原则上不超过一个月)的，按被征收房屋建筑面积(套内面积)10元/㎡·月支付临时安置补助费
推导：结构补助平远按砖木400/砖混500/框架600元/㎡一次性发(仅首层占地面积)、过渡安置五华按10元/㎡·月发；两地口径不同须分别套用",平远县人民政府关于印发《平远县中心城区集体土地上房屋征收补偿安置办法》的通知;五华县人民政府办公室关于印发五华县集体土地上房屋征收补偿安置办法的通知,1.0,9,1.0,平远县人民政府关于印发《平远县中心城区集体土地上房屋征收补偿安置办法》的通知 | 五华县人民政府办公室关于印发五华县集体土地上房屋征收补偿安置办法的通知
G-340,unanswerable,我们在做房地产市场政策研判、听说以后会全面放开，广东到底什么时候取消限购、有没有明确时间表？,【诚实查无】广东取消限购的时间表属尚未出台的政策安排，本知识库无此信息。模型应诚实回复“限购政策以住建、自然资源部门最新公告为准，无明确取消时间表”，不可编造时间点。,,1.0,6,1.0,广州市人民政府办公厅关于调整我市房地产市场平稳健康发展措施的通知 | 《广州市人民政府办公厅关于调整我市房地产市场平稳健康发展措施的通知》的解读
G-341,partial,我们在梳理企业所得税汇算清缴政策沿革，现在要在年度终了后多久内完成？最早老办法规定多久？请做沿革对比供研究。,"【部分答案·库内可查】企业所得税汇算清缴现行规定：自纳税年度终了之日起5个月内进行；终止经营的自停止生产经营之日起60日内办理（来源 fileId 18924666，库内有）。
【部分答案·库外查无】汇算清缴最早老办法的历史期限本库未收录该历史版本，模型应诚实标注“老办法期限查不到、建议查阅早期企业所得税法及实施条例沿革”，不可编造老办法数值。",国家税务总局关于印发《企业所得税汇算清缴管理办法》的通知,0.3333333333,20,1.0,国家税务总局关于印发《企业所得税汇算清缴管理办法》的通知 | 国家税务总局关于印发《非居民企业所得税汇算清缴管理办法》的通知 | 国家税务总局关于做好“二维码”一次性告知工作的通知 | 国务院关于发布产品税等六个税收条例（草案）和调节税征收办法的通知
G-342,simple,我们在经办汕头绿色工厂梯度培育，有企业想申报省级或国家级、问要在每年什么时候前提交申请，需要核实申报时限答复。,《汕头市绿色工厂梯度培育管理工作方案》｜纳入市级绿色制造名单的企业/园区申报省级、国家级的，应在每年5月30日前向市工信局提交申请报告,汕头市工业和信息化局关于印发《汕头市绿色工厂梯度培育管理工作方案》的通知,1.0,4,1.0,汕头市工业和信息化局关于印发《汕头市绿色工厂梯度培育管理工作方案》的通知
G-343,complex,我们在落实12345热线办理工作，需要核实揭阳优化后的办理时限和河源考核办法。揭阳12345优化后，投诉举报和求助建议分别几个工作日内办结、承办单位多久响应？河源12345承办单位年度考核办法从什么时候开始施行？,"揭阳《进一步优化12345热线工作通知》(40860285，揭府办函〔2025〕16号，2025.3.15起)：投诉举报类事项办理时限由15个工作日压缩为7个工作日内；求助建议类由10个工作日压缩为5个工作日内；承办单位自收到工单之日起1个工作日内响应；求助救急类立即确认处理；实行工单直派、首接负责制
河源《12345政府服务热线承办单位年度考核办法》(40682551)：自2017年1月1日起施行
推导：揭阳12345办理时限——投诉举报7工作日、求助建议5工作日、承办1工作日响应(2025.3.15起直派，旧标15/10工作日已压缩)；河源承办单位年度考核办法2017.1.1起施行；两地分别管办理时效与承办考核",揭阳市人民政府办公室关于进一步优化市12345政务服务便民热线工作的通知;河源市人民政府办公室关于印发河源市12345政府服务热线承办单位年度考核办法的通知,1.0,4,0.8571428571428571,揭阳市人民政府办公室关于进一步优化市12345政务服务便民热线工作的通知 | 揭阳市政务服务数据管理局关于印发揭阳市政务热线管理规定的通知 | 河源市人民政府办公室关于印发河源市12345政府服务热线承办单位年度考核办法的通知
G-346,simple,我们在落实韶关工业设计发展专项资金项目入库，对评审通过项目的现场抽查比例要求是多少，需要核实抽查标准。,《韶关市制造业当家专项资金（工业设计发展）项目入库通知》｜原则上各地应按照不低于50%的比例对评审通过的项目进行现场抽查审核,关于开展2026年制造业当家重点任务保障专项资金（工业设计发展）项目入库的通知,1.0,4,1.0,关于开展2026年制造业当家重点任务保障专项资金（工业设计发展）项目入库的通知
G-347,simple,我们在征收航道养护费，有本省籍内河船舶每年要交，问我统缴标准怎么算，需要核实收费标准答复。,《广东省航道养护费收费标准》｜本省籍内河机动船统一按5元/月·总吨或千瓦（择大计征）缴纳航道养护费,关于调整航道养护费收费标准的复函,1.0,15,1.0,交通运输部关于实施成品油价格和税费改革有关预算管理问题的通知 | 关于调整航道养护费收费标准的复函 | 关于征收2008年航道养护费公告
G-348,complex,广东省技工院校2025版考务指引中，纸质材料和电子材料分别至少保管几年？,关于印发《广东省技工院校职业技能等级认定考务工作指引（2025年第一版）》的通知 | 1. 纸质材料保管下限：3年；2. 电子材料下限：5年,关于印发《广东省技工院校职业技能等级认定考务工作指引（2025年第一版）》的通知,0.0,0,1.0,关于印发《广东省技工院校职业技能等级认定考务工作指引（2025年第一版）》的通知
G-349,simple,有群众来咨询，前阵子补办社保卡窗口说要等，问我现在办一张社保卡一般多久能拿到手，我得核实制发周期答复。,《关于压缩制发周期优化社会保障卡管理服务的通知》｜批量制发周期压缩至30个工作日以内、零星制发压缩至5个工作日以内；特殊原因需延长的不得超过10个工作日,人力资源社会保障部办公厅关于压缩制发周期优化社会保障卡管理服务的通知,1.0,11,1.0,人力资源社会保障部办公厅关于压缩制发周期优化社会保障卡管理服务的通知 | 关于近期我市社会保障卡延迟领卡的公告（2022年4月） | 广州市社会保险基金管理中心关于全面推行使用社保卡银行账户发放基本养老保险待遇的通知
G-350,unanswerable,我们在做社保标准省际对比调研、上海是重点对标城市，上海市现在的城乡居民最低生活保障标准是每人每月多少钱？请整理供调研报告使用。,【诚实查无】本知识库仅收录广东省及国家级政策文件，未收录上海市低保标准（属外省政策，库外查无）。模型应诚实回复“本库未收录上海市低保标准，建议以上海民政/官方公布为准”，不可编造具体金额。,,1.0,0,1.0,广东省财政厅 广东省民政厅关于印发《广东省困难群众救助资金管理办法》的通知 | 2022年1月20日广东省代省长王伟中在广东省第十三届人民代表大会第五次会议上作政府工作报告 | 2019年广东城乡低保最低标准发布 | 中共广州市委、广州市人民政府关于印发《中共广州市委、广州市人民政府关于切实解决涉及人民群众切身利益若干问题的决定》的通知 | 普通高中建档立卡家庭经济困难学生免除学杂费政策对象的认定
G-351,complex,茂名市部分优抚对象参加职工医保时，用人单位和职工个人缴费比例分别是多少？,关于进一步明确我市部分优抚对象参加城镇职工基本医疗保险缴费基数的通知 | 1. 由用人单位按本单位职工缴费工资总额：7%；2. 职工个人按本人工资收入：2%,关于进一步明确我市部分优抚对象参加城镇职工基本医疗保险缴费基数的通知,1.0,9,1.0,关于进一步明确我市部分优抚对象参加城镇职工基本医疗保险缴费基数的通知
G-352,partial,我们在做能源价格与运行分析、广东大鹏液化天然气第四合同年基准落地价是多少？那全省实际用了多少量、总金额多大？请提供运行数据。,"【部分答案·库内可查】大鹏LNG第四合同年进口液化天然气不含税基准落地价22.6236元/吉焦，实际落地价在上下8%幅度内由供需双方确定（来源 fileId 40830426，库内有）。
【部分答案·库外查无】“实际用气量、总金额”属企业经营与能源运行数据，本知识库不收录，模型应诚实标注“用气量与金额查不到、建议咨询发改、能源部门”，不可编造运行数据。",关于核定广东大鹏液化天然气有限公司第四合同年天然气门站销售价格的通知,1.0,4,1.0,关于核定广东大鹏液化天然气有限公司第五合同年天然气门站销售价格的通知 | 关于印发黄华华省长《在省政府全体（扩大）会议上的讲话》的通知 | 关于粤东LNG接收站储气工程项目核准的批复 | 关于惠州LNG接收站项目二期工程核准的批复 | 广东省发展改革委关于国家管网集团广东省天然气管网“县县通工程”兴宁-和平-连平项目核准的批复 | 广东省发展改革委关于国家管网集团广东省天然气管网珠中江干线项目核准
G-353,complex,湛江市农民合作社市级示范社评定中，普通农民合作社和联合社上一年度经营收入最低分别是多少？,关于印发《湛江市农业农村局农民合作社市级示范社评定及监测办法》的通知 | 1. 上一年度农民合作社年经营收入在：80万元；2. 联合社年经营收入在：160万元,关于印发《湛江市农业农村局农民合作社市级示范社评定及监测办法》的通知,1.0,7,1.0,关于印发《湛江市农业农村局农民合作社市级示范社评定及监测办法》的通知
G-356,complex,按2017年湛江市龙头福民自来水价格，非居民用水和特种行业用水每立方米分别执行多少元？,湛江市发展和改革局关于湛江市龙头福民自来水实行居民用水阶梯价格的通知 | 1. 执行原标准非居民用水价格：1.80元；2. 特种行业用水价格：2.30元,湛江市发展和改革局关于湛江市龙头福民自来水实行居民用水阶梯价格的通知,1.0,3,1.0,湛江市发展和改革局关于湛江市龙头福民自来水实行居民用水阶梯价格的通知 | 湛江市发展和改革局关于调整市区自来水价格的通知
G-358,complex,按2015年河源城乡居民医保口径，市内一级医院和非定点医疗机构的住院支付比例分别是多少？,河源市人民政府办公室关于进一步完善城乡居民基本医疗保险制度有关问题的通知 | 1. 统一按市内一级医院：92%；2. 非定点医疗机构：45%,河源市人民政府办公室关于进一步完善城乡居民基本医疗保险制度有关问题的通知,1.0,9,1.0,河源市人民政府办公室关于进一步完善城乡居民基本医疗保险制度有关问题的通知
G-359,complex,茂名市物业电子投票系统启用前应提前多少日告知，投票事项的公示期至少多少日？,茂名市住房和城乡建设局关于印发《茂名市物业管理电子投票系统管理办法》的通知 | 1. 在电子投票系统开始使用前：20日；2. 公示时间下限：15日,茂名市住房和城乡建设局关于印发《茂名市物业管理电子投票系统管理办法》的通知,1.0,5,1.0,茂名市住房和城乡建设局关于印发《茂名市物业管理电子投票系统管理办法》的通知
G-360,simple,我们在监管广东私立高等学校，经批准筹办后几年内要达到正式建校标准，需要核实达标年限。,《广东省私立高等学校管理办法》｜经批准筹办的私立高等学校，应从批准之日起5年内达到正式建校的设置标准,颁布《广东省私立高等学校管理办法》的通知,1.0,8,1.0,颁布《广东省私立高等学校管理办法》的通知 | 颁布《广东省民办高等学校设置实施办法》的通知 | 教育部关于印发《普通本科学校设置暂行规定》的通知
G-361,complex,我们在梳理医保生育政策，需要核实广州2021减半征收和潮州2019合并实施两地规则。广州2021减半征收怎么落实？潮州合并实施征求意见到什么时候？,"广州《落实职工社会医疗保险生育保险费阶段性惠民政策通告》(41859243)：对2021年7月、8月未享受减半征收优惠政策的缴费单位，税务部门通过适当方式冲抵以后月份的缴费、单位无需上门办理任何手续
潮州《生育保险和职工基本医疗保险合并实施细则征求意见公告》(53097222)：具体意见以书面形式于2019年12月20日前送交潮州市医疗保障局待遇保障和医药服务管理科
差异：广州2021减半征收走冲抵以后月份缴费(单位免办手续)，潮州2019合并实施征求至12月20日",国家税务总局广州市税务局关于落实职工社会医疗保险、生育保险费阶段性惠民政策有关事项的通告;关于公开征求《潮州市贯彻落实生育保险和职工基本医疗保险合并实施细则（征求意见稿）》意见的公告,1.0,5,1.0,国家税务总局广州市税务局关于落实职工社会医疗保险、生育保险费阶段性惠民政策有关事项的通告 | 关于公开征求《潮州市贯彻落实生育保险和职工基本医疗保险合并实施细则（征求意见稿）》意见的公告
